tag;artist;song;popularity;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Cantata BWV 147: Herz Und Mund Und Tat Und Leben, Jesu, Joy of Man's Desiring;22;3NupUTGvDHueWw2gQIuFZL;0.495;0.386;5;-19.298;0;0.0381;0.936;0.889;0.124;0.81;125.54;163088
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Fantasy On George Handel Motif;20;1GoaHByIOXKfk6dHtfBR1k;0.413;0.229;11;-20.609;0;0.0656;0.961;0.827;0.107;0.767;137.749;142000
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Air, Z. 645;19;0cDV1t8H2SMLWKIfVOizAY;0.555;0.23;8;-16.931;1;0.0455;0.926;0.935;0.104;0.795;138.433;88262
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Californian Guitar Etude for One Guitar of Quartet;22;15m1idFQuIMnffuNfBWCMZ;0.538;0.188;5;-20.584;1;0.0395;0.939;0.937;0.119;0.26;122.931;138998
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Romance of First Love;19;4X1JymhPXzAjBdJbkoy9pN;0.268;0.213;4;-22.437;1;0.0387;0.983;0.914;0.106;0.37;156.392;393296
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Menuet;18;1GH7s1S4hmVdUxq0D8GXEF;0.566;0.4;1;-18.286;1;0.0667;0.967;0.956;0.114;0.351;116.151;59985
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Courante, BWV 1007;18;5igeWbvCc7bay4TratqaF4;0.345;0.236;7;-20.52;0;0.0461;0.97;0.913;0.133;0.574;141.916;210953
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Minuet I & Minuet II, BWV 1007;20;2ZwqloGHVxrMMiYoE5uUS1;0.458;0.226;10;-20.355;1;0.0439;0.985;0.916;0.123;0.69;95.625;229053
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Gigue, BWV 1007;19;3roJV9xzA1pDuiB11eACmq;0.471;0.217;0;-21.538;1;0.0591;0.938;0.815;0.109;0.894;118.109;108414
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Air in G Major, Z 641;19;5W4azwUZmtKkmND4VmBzFf;0.493;0.22;6;-15.917;1;0.0468;0.947;0.855;0.107;0.525;90.062;111320
happy;Andrei Krylov, Lana Ross & Andrew Grossman;Shakers' Hymn;18;4IRiTOrTuUdbmRcuB0kQS7;0.43;0.275;3;-18.553;1;0.0362;0.905;0.961;0.106;0.342;113.783;129547
happy;Béla Fleck and the Flecktones;Improv/Prelude from Bach violin partita #3 - Live at the Quick;36;0iPEajhRJb41aaGWuUWCfV;0.375;0.337;0;-21.892;1;0.0849;0.978;0.865;0.714;0.871;105.636;330840
happy;Antônio Carlos Jobim;Jobim: Road to the Sun;36;6LhNIBQ3c711HIIhwWoFpx;0.356;0.0145;2;-31.366;1;0.0526;0.991;0.922;0.0945;0.2;78.685;152000
happy;Johann Kaspar Mertz;Mazurka, Op. 40 (version for 2 guitars);31;4BXB53KgtULlcfpFlS1OZT;0.494;0.0862;5;-24.076;1;0.0362;0.989;0.866;0.085;0.337;76.471;194333
happy;Johann Kaspar Mertz;Standchen (Serenade);12;5LfLu69ZlN4jfQie9wXhxx;0.404;0.0346;0;-29.269;1;0.0489;0.993;0.924;0.0816;0.113;131.823;358307
happy;Johann Kaspar Mertz;Deutsche Weise (German Air);12;4Y9TMbKCxPqNGSeOMAhycj;0.442;0.0184;5;-31.713;1;0.0525;0.993;0.92;0.0732;0.0652;101.239;259733
happy;Boston Symphony Orchestra;Humoresque No. 7 in G-flat Major, Op. 101;38;6ZgBPqiowNI40FaLezqG9H;0.134;0.0577;6;-25.082;1;0.0494;0.86;0.233;0.137;0.149;82.635;210987
happy;Laura Sullivan;Jumping Fish;14;1y6KTKcdy7hRKDEj6afM09;0.276;0.198;7;-17.073;1;0.0527;0.971;0.931;0.0981;0.38;160.75;312413
happy;Laura Sullivan;Calls to Spirit;22;6Dkf3zXP0w7c7XGlQKazIJ;0.288;0.152;2;-16.137;1;0.0533;0.978;0.828;0.125;0.379;163.666;169973
happy;James Newton Howard;Welcome to the Moors;25;6As5Qu9BTcfZIXf51AyV6W;0.343;0.195;9;-19.363;1;0.034;0.696;0.883;0.346;0.163;93.889;65080
happy;George Frideric Handel;Messiah, Part Two: All we like sheep have gone astray;23;6qVh1RPSaWl7PTtdiUHlzz;0.539;0.115;5;-26.496;1;0.0337;0.987;0.166;0.0947;0.316;113.117;233200
happy;The Real Group;The Christmas Oratorio;11;2Z8Qs2nivKKBgjdXkI4vwk;0.548;0.378;2;-11.56;1;0.0332;0.867;0.642;0.697;0.63;139.956;250362
happy;Dave Grusin;New Hampshire Hornpipe (From On Golden Pond);10;3sRfdggo8Bux3YaTeHDQ0L;0.535;0.268;0;-14.067;1;0.0337;0.981;0.873;0.0724;0.755;120.937;150827
happy;Johann Sebastian Bach;J.S. Bach: Christmas Oratorio BWV 248: Shepherd's Music;14;0OBmEPUqNhyOMw1565nLMa;0.0703;0.161;7;-20.269;1;0.0418;0.916;0.947;0.18;0.0514;76.063;442400
happy;Christoph Willibald Gluck;"Orfeo ed Euridice (Orphée et Eurydice), Wq. 30 - Vienna Version (1762) / Act 3: ""Che farò senza Euridice?""";22;4zAtLvJjF77WQoyi7PD6Ij;0.302;0.0464;6;-22.124;1;0.0502;0.967;0;0.36;0.118;81.19;224520
happy;Felix Mendelssohn;Mendelssohn: String Octet in E-Flat Major, Op. 20: III. Scherzo (Allegro leggierissimo);32;69Ov697BYVxaIsr64ocPue;0.473;0.119;7;-24.936;1;0.0361;0.945;0.716;0.0866;0.332;138.332;256267
happy;Felix Mendelssohn;"Songs Without Words, Op. 62: No. 6 in A Major, ""Spring Song"": Andante grazioso";22;1XmCB4zR9T8mjHiiC1AnWl;0.304;0.0111;9;-31.678;1;0.0363;0.995;0.888;0.0879;0.162;79.456;151440
happy;Wolfgang Amadeus Mozart;"Mozart: Serenade No. 13 in G Major, K. 525, ""Eine kleine Nachtmusik"": III. Menuetto (Allegretto)";24;5leuzyqDdvtxDbOvG17NMY;0.322;0.0708;2;-18.259;1;0.0444;0.947;0.705;0.117;0.555;141.208;118200
happy;Gioachino Rossini;Largo al factotum from The Barber of Seville - Vocal;22;77R0qCiiqRWDqgxweljhm5;0.437;0.252;7;-17.255;1;0.0562;0.98;0.4;0.164;0.486;73.574;257427
happy;TERZ Classical guitar trio;Double Violin Concerto in A Minor, Rv 522: I. Allegro;15;4RYIlux6xKFzqw3PRaZF1y;0.645;0.117;9;-23.241;0;0.0504;0.986;0.898;0.0918;0.463;83.276;277533
happy;TERZ Classical guitar trio;Double Violin Concerto in A Minor, Rv 522: III. Allegro;14;2I3eXqTs07Q77c4rQdDhbA;0.616;0.116;9;-23.364;0;0.0636;0.991;0.927;0.115;0.322;97.099;281427
happy;TERZ Classical guitar trio;Conceerto Grosso Op.6 No.8 Corelli;16;3TGJfb2ekjtFB82vIH04pJ;0.155;0.0662;7;-21.425;1;0.0433;0.952;0.233;0.322;0.331;170.062;265347
happy;Luigi Boccherini;"String Quintet in C Major G. 324, Op. 30, No.6, ""La musica notturna delle strade di Madrid"": String Quintet in C major G.324, Op.30 No.6, ""La musica notturna delle strade di Madrid"": I. Il campane quando suonano l'Ave Maria - II. Il tamburo del quartier dei soldati - III. Minuetto dei ciechi";30;59KEZQd6QLHB83pSU0sEj2;0.606;0.109;0;-16.998;1;0.177;0.873;0.498;0.112;0.108;102.939;210093
happy;Franz Schubert;3 Marches militaires, Op. 51, D. 733: No. 1 in D Major (arr. P. Breiner): Military March No. 1 (arr. for orchestra);41;5UXV1QMPUNRotssaKqOHso;0.579;0.0667;2;-21.211;1;0.0505;0.966;0.921;0.0867;0.593;115.004;299560
happy;Luigi Boccherini;Flute Quartet No. 1 in D Major, G. 260: I. Allegro vivace;28;1eUVC3B4NbE90M1UJ747Ac;0.508;0.0631;9;-21.417;1;0.0501;0.981;0.158;0.059;0.34;119.241;353920
happy;Wolfgang Amadeus Mozart;Symphony No. 23 in D Major, K. 181: III. Presto Assai;21;6KTgH58bCFTpFb7Amnd07Y;0.632;0.142;9;-19.68;1;0.142;0.902;0.952;0.126;0.589;86.107;131267
happy;Johann Sebastian Bach;English Suite No. 1 in A Major, BWV 806: VII. Sarabande - Remastered;23;7IbX0uph3xSIzYLJSgjOlW;0.471;0.0215;9;-28.327;1;0.051;0.995;0.896;0.0946;0.283;128.427;246827
happy;Johann Sebastian Bach;Wachet auf, ruft uns die Stimme, BWV 645;36;0jCK1UH5il1KD6R5sGiW9s;0.586;0.0203;8;-33.345;1;0.0376;0.92;0.884;0.122;0.405;129.388;282853
happy;Johann Christian Bach;Grand Overture in D major, Op. 18, No. 6, W. XC1: III. Allegretto;32;57wauLQi5uJNJWhxgy3MH1;0.482;0.0418;4;-24.702;1;0.0411;0.931;0.0831;0.218;0.389;145.558;153000
