sep=,
classical,Liszt_Hungarian_Rhapsody_No_2_in_C_Sharp_Minor_S_359_2_orchestral_,0.666
classical,Liszt_Nocturno_N_3_Suen_o_de_amor_Liebestraum_N_3_O_lieb_so_lang_du_lieben_kannst_,1.309
classical,Ludwig_van_Beethoven_Symphony_No_5_In_C_Minor_Op_67_Fate_I_Allegro_Con_Brio,2.417
classical,Luigi_Boccherini_Stabat_Mater_G_532a,0.701
classical,Minuet_Luigi_Boccherini_String_Quintet_in_E_Major_Op_11_No_5,0.521
classical,Mozart_Piano_Concerto_No_20_in_D_Minor_K_466_III_Rondo_Allegro_assai,0.745
classical,Mozart_Piano_Sonata_No_11_in_A_major_K_331_III_Rondo_alla_Turca,0.514
classical,Mozart_Symphony_No_25_in_G_minor_K_183_I_Allegro_con_brio_Conductor_Christian_Ehwald,0.547
classical,Mozart_Symphony_40_in_G_Minor_K_550_1_Molto_Allegro,0.866
classical,Piano_Concerto_No_1_in_B_Flat_minor_Op_23_Movement_I_Tchaikovsky_,0.633
classical,Pogorelich_plays_Ravel_Gaspard_de_la_nuit_Ondine_Le_Gibet_Scarbo_,0.65
classical,Prince_igor_Polovtsian_Dances_Introduzione_Andantino_Allegro_vivo,0.613
classical,Pyotr_Ilyich_Tchaikovsky_Swan_Lake_Suite_Op_20_Sce_ne_from_Act_I,0.563
classical,Pyotr_Ilyich_Tchaikovsky_The_Nutcracker_Op_71_March_piano_by_Peter_A_Tkatchenko,0.71
classical,Ravel_Pavane_pour_une_infante_de_funte_Pavane_for_a_Dead_Princess_Royal_Philharmonic_Orchestra,0.657
classical,Renaud_Capuc_on_Beethoven_Romance_for_Violin_and_Orchestra_No_2_in_F_major_Op_50_Kurt_Masur_,0.893
classical,RIOPY_Golden_gate,0.518
classical,RIOPY_I_love_you,0.412
classical,Robert_Schumann_Piano_Concerto_in_A_minor_Op_54,0.846
classical,Robert_Schumann_Symphony_No_1_in_B_flat_majot_Op_38_Spring_II_Larghetto,0.0
classical,Saint_Saens_The_Swan_Le_Cygne_Carnival_of_the_Animals,0.688
classical,Saint_Sae_ns_Le_carnaval_des_animaux_The_Carnival_of_the_Animals_1886_,0.936
classical,Saint_Sae_ns_Liszt_Danse_Macabre_Op_40_S_555_Cohen_,0.582
classical,Schubert_Symphony_No_5_in_B_flat_major_D_485_II_Andante_con_Moto,0.647
classical,Schubert_Moment_Musical_Op_94_No_3_in_F_Minor_Air_russe_Allegro_Moderato,0.523
classical,Schumann_Fantasiestu_cke_Fantasy_Pieces_Op_12_no_1_3_Des_Abends_Aufschwung_Warum_VICTOR_GOLDBERG_Pianist,0.527
classical,Symphony_No_100_in_G_Major_2nd_Movement_Allegretto_,0.561
classical,Tchaikovsky_Waltz_of_the_Flowers,0.617
classical,Tchaikovsky_1812_Overture_Festival_Overture_in_eb_major_op_49,0.912
classical,The_Legend_of_Zelda_Suite_Live_with_the_Swedish_Radio_Symphony_Orchestra_SCORE_Game_Music_,0.757
classical,Tra_umerei_Reverie_Kinderszenen_Scenes_from_Childhood_Schumann_Edited_by_Marino_van_Wakeren_,0.543
classical,Venezia_e_Napoli_S_159_III_Tarantella_Franz_Liszt_,0.641
classical,W_A_Mozart_Symphony_No_29_In_A_K_201_1st_Movement_Allegro_Moderato,0.496
classical,Waltz_in_A_flat_major_Op_39_No_15_BRAHMS,0.742
dance,02_Snap_Rhythm_Is_A_Dancer_12_Mix_,0.363
dance,2_Unlimited_No_Limit_1993_,0.587
dance,2_Unlimited_Tribal_Dance,0.38
dance,20_Fingers_Feat_Roula_Lick_It_20_Fingers_Club_Mix_Official_Video,0.316
dance,69_boyz_Tootsee_Roll,0.477
dance,Ace_of_Base_All_That_She_Wants_Official_Music_Video_,0.33
dance,Ace_of_Base_The_Sign_Official_Music_Video_,0.35
dance,Alcazar_Crying_At_The_Discoteque,0.152
dance,Alex_Party_Don_t_Give_Me_Your_Life,0.276
dance,Alice_Deejay_Better_Off_Alone_Radio_Edit_,0.138
dance,All_Saints_Pure_Shores_Official_Music_Video_,0.378
dance,Amber_This_Is_Your_Night_Official_Video_HD_1,0.359
dance,Amber_This_Is_Your_Night_Original_Edit_,0.39
dance,Armand_Van_Helden_You_Don_t_Know_Me_Original_Mix_1998_,0.279
dance,Artful_Dodger_Movin_Too_Fast_feat_Romina_Johnson_Official_Music_Video_,0.359
dance,ATB_9PM_Till_I_Come_HQ,0.397
dance,ATC_All_Around_The_World_la_la_la_la_la_la_la_la_,0.263
dance,Avant_Makin_Good_Love,0.374
dance,Basement_Jaxx_Romeo_Official_Video_Rooty,0.49
dance,Beats_International_Dub_Be_Good_To_Me,0.398
dance,Betty_Boo_Where_Are_You_Baby_Official_Video_,0.302
dance,Black_Box_Ride_on_Time_Official_Video_,0.267
dance,Booty_Luv_Boogie_2Nite_High_Quality_Seamus_Haji_Big_Love_Remix_,0.495
dance,C_C_Music_Factory_Gonna_Make_You_Sweat_Everybody_Dance_Now_ft_Freedom_Williams,0.395
dance,CeCe_Peniston_Finally,0.356
dance,Celebration_by_Kool_and_the_Gang_with_lyrics,0.39
dance,Chase_The_Sun_Planet_Funk,0.281
dance,Chumbawamba_Tubthumping,0.402
dance,Corona_Try_Me_Out_Official_Music_Video_,0.367
dance,Crystal_Waters_Gypsy_Woman_She_s_Homeless_,0.394
dance,Culture_Beat_Mr_Vain_Special_Radio_Edit_,0.353
dance,Da_Hool_Meet_Her_At_The_Love_Parade_Radio_Edit_,0.361
dance,Daft_Punk_Around_The_World,0.225
dance,Daft_Punk_Face_To_Face,0.501
dance,Daft_Punk_One_More_Time_Radio_Edit_,0.728
dance,Daniel_Bedingfield_Gotta_Get_Thru_This_D_N_D_Full_Length_Version_TO_,0.668
dance,Dannii_Minogue_Feat_Riva_Who_Do_You_Love_Now_HQ_House_Music,0.639
dance,Darude_Sandstorm,1.116
