sep=,
classical,F_Chopin_Etude_Op_10_No_12_in_C_Minor_Revolutionary_Allegro_con_fuoco_Sviatoslav_Richter,0.051
classical,F_Chopin_Etude_Op_10_No_2_in_A_Minor_Allegro_Sviatoslav_Richter,0.049
classical,Fantaisie_Impromptu_in_C_sharp_minor_Op_posth_66_HD_Fre_de_ric_Chopin,0.039
classical,Franz_Joseph_Haydn_Cello_Concerto_No_1_in_C_major_Hob_VIIB_1,0.083
classical,Franz_Joseph_Haydn_Trumpet_for_Concerto_in_E_flat_major_III_Finale_Allegro,0.097
classical,Franz_Liszt_Piano_Concerto_No_1_in_E_flat_major_S_124_Rene_Ducha_ble_,0.061
classical,Franz_Schubert_Symphony_No_8_in_B_minor_D_759_Unfinished_Symphony_II_Andante_con_moto,0.08
classical,Frederic_Chopin_Prelude_In_D_flat_Major_Op_28_No_15_Raindrop_,0.05
classical,George_Frideric_Handel_HWV_40_Largo_from_Xerxes_Serse_Ombra_mai_fu_,0.076
classical,Hagen_Quartet_Maurice_Ravel_String_Quartet_in_F_Assez_vif_Tre_s_rythme_2_4_,0.088
classical,Handel_Arrival_of_the_Queen_of_Sheba_from_Solomon_HWV_67,0.095
classical,Handel_Concerto_No_10_in_D_Minor_for_Organ_and_Orchestra_I_Adagio,0.05
classical,Handel_La_Re_jouissance_Music_for_the_Royal_Fireworks_HWV_351_,0.118
classical,Haydn_String_Quartet_in_C_Major_Op_76_No_3_Movement_II_Poco_adagio_cantabile,0.079
classical,HAYDN_String_Quartet_No_53_in_D_Major_Op_64_No_5_H_3_63_Lark_II_Adagio_Cantabile,0.09
classical,Ha_ndel_Messiah_Hallelujah_Chorus,0.081
classical,Johann_Sebastian_Bach_Chaconne_Partita_No_2_BWV_1004_Hilary_Hahn,0.111
classical,Johann_Sebastian_Bach_Fugue_for_Lute_in_G_A_minor_BWV_1000,0.054
classical,Johannes_Brahams_Tragic_Overture_in_Re_minore_Op_81,0.071
classical,Johannes_Brahms_Hungarian_Dance_No_5,0.106
classical,Johannes_Brahms_Lullaby_Good_evening_good_night_Op_49_No_4_,0.145
classical,Johannes_Brahms_Violin_Concerto_in_D_major_Op_77_III_Allegro_giocoso,0.096
classical,Joseph_Haydn_Symphony_No_101_in_D_major_The_Clock_Mackerras_,0.048
classical,JS_Bach_Kommst_du_nun_Jesu_vom_Himmel_herunter_BWV_650_par_Bine_Bryndorf,0.06
classical,Liszt_Hungarian_Rhapsody_No_2_in_C_Sharp_Minor_S_359_2_orchestral_,0.092
classical,Liszt_Nocturno_N_3_Suen_o_de_amor_Liebestraum_N_3_O_lieb_so_lang_du_lieben_kannst_,0.05
classical,Ludwig_van_Beethoven_Symphony_No_5_In_C_Minor_Op_67_Fate_I_Allegro_Con_Brio,0.081
classical,Luigi_Boccherini_Stabat_Mater_G_532a,0.063
classical,Minuet_Luigi_Boccherini_String_Quintet_in_E_Major_Op_11_No_5,0.079
classical,Mozart_Piano_Concerto_No_20_in_D_Minor_K_466_III_Rondo_Allegro_assai,0.058
classical,Mozart_Piano_Sonata_No_11_in_A_major_K_331_III_Rondo_alla_Turca,0.063
classical,Mozart_Symphony_No_25_in_G_minor_K_183_I_Allegro_con_brio_Conductor_Christian_Ehwald,0.079
classical,Mozart_Symphony_40_in_G_Minor_K_550_1_Molto_Allegro,0.074
classical,Piano_Concerto_No_1_in_B_Flat_minor_Op_23_Movement_I_Tchaikovsky_,0.07
classical,Pogorelich_plays_Ravel_Gaspard_de_la_nuit_Ondine_Le_Gibet_Scarbo_,0.066
classical,Prince_igor_Polovtsian_Dances_Introduzione_Andantino_Allegro_vivo,0.071
classical,Pyotr_Ilyich_Tchaikovsky_Swan_Lake_Suite_Op_20_Sce_ne_from_Act_I,0.076
classical,Pyotr_Ilyich_Tchaikovsky_The_Nutcracker_Op_71_March_piano_by_Peter_A_Tkatchenko,0.066
classical,Ravel_Pavane_pour_une_infante_de_funte_Pavane_for_a_Dead_Princess_Royal_Philharmonic_Orchestra,0.062
classical,Renaud_Capuc_on_Beethoven_Romance_for_Violin_and_Orchestra_No_2_in_F_major_Op_50_Kurt_Masur_,0.07
classical,RIOPY_Golden_gate,0.045
classical,RIOPY_I_love_you,0.052
classical,Robert_Schumann_Piano_Concerto_in_A_minor_Op_54,0.074
classical,Robert_Schumann_Symphony_No_1_in_B_flat_majot_Op_38_Spring_II_Larghetto,0.059
classical,Saint_Saens_The_Swan_Le_Cygne_Carnival_of_the_Animals,0.051
classical,Saint_Sae_ns_Le_carnaval_des_animaux_The_Carnival_of_the_Animals_1886_,0.064
classical,Saint_Sae_ns_Liszt_Danse_Macabre_Op_40_S_555_Cohen_,0.042
classical,Schubert_Symphony_No_5_in_B_flat_major_D_485_II_Andante_con_Moto,0.086
classical,Schubert_Moment_Musical_Op_94_No_3_in_F_Minor_Air_russe_Allegro_Moderato,0.042
classical,Schumann_Fantasiestu_cke_Fantasy_Pieces_Op_12_no_1_3_Des_Abends_Aufschwung_Warum_VICTOR_GOLDBERG_Pianist,0.04
classical,Symphony_No_100_in_G_Major_2nd_Movement_Allegretto_,0.085
classical,Tchaikovsky_Waltz_of_the_Flowers,0.035
classical,Tchaikovsky_1812_Overture_Festival_Overture_in_eb_major_op_49,0.051
classical,The_Legend_of_Zelda_Suite_Live_with_the_Swedish_Radio_Symphony_Orchestra_SCORE_Game_Music_,0.07
classical,Tra_umerei_Reverie_Kinderszenen_Scenes_from_Childhood_Schumann_Edited_by_Marino_van_Wakeren_,0.039
classical,Venezia_e_Napoli_S_159_III_Tarantella_Franz_Liszt_,0.052
classical,W_A_Mozart_Symphony_No_29_In_A_K_201_1st_Movement_Allegro_Moderato,0.084
classical,Waltz_in_A_flat_major_Op_39_No_15_BRAHMS,0.046
dance,02_Snap_Rhythm_Is_A_Dancer_12_Mix_,0.112
dance,2_Unlimited_No_Limit_1993_,0.174
dance,2_Unlimited_Tribal_Dance,0.132
dance,20_Fingers_Feat_Roula_Lick_It_20_Fingers_Club_Mix_Official_Video,0.114
dance,69_boyz_Tootsee_Roll,0.049
dance,Ace_of_Base_All_That_She_Wants_Official_Music_Video_,0.091
dance,Ace_of_Base_The_Sign_Official_Music_Video_,0.143
dance,Alcazar_Crying_At_The_Discoteque,0.085
dance,Alex_Party_Don_t_Give_Me_Your_Life,0.081
dance,Alice_Deejay_Better_Off_Alone_Radio_Edit_,0.115
dance,All_Saints_Pure_Shores_Official_Music_Video_,0.085
dance,Amber_This_Is_Your_Night_Official_Video_HD_1,0.192
dance,Amber_This_Is_Your_Night_Original_Edit_,0.172
dance,Armand_Van_Helden_You_Don_t_Know_Me_Original_Mix_1998_,0.182
dance,Artful_Dodger_Movin_Too_Fast_feat_Romina_Johnson_Official_Music_Video_,0.074
dance,ATB_9PM_Till_I_Come_HQ,0.12
dance,ATC_All_Around_The_World_la_la_la_la_la_la_la_la_,0.144
