sep=,
Jamie_xx,01_Radiohead_Bloom_Jamie_xx_Rework_Part_3_,0.461
Jamie_xx,01_The_xx_Sunset_Jamie_xx_Edit_,0.204
Jamie_xx,02_The_xx_Reconsider_Jamie_xx_Edit_,0.816
Ludovico_Einaudi,01_Ludovico_Einaudi_Uno,0.526
Ludovico_Einaudi,02_Ludovico_Einaudi_Divenire,0.624
Ludovico_Einaudi,03_Ludovico_Einaudi_Monday,1.082
Ludovico_Einaudi,04_Ludovico_Einaudi_Andare,0.422
Ludovico_Einaudi,05_Ludovico_Einaudi_Rose,1.192
Ludovico_Einaudi,06_Ludovico_Einaudi_Primavera,0.705
Ludovico_Einaudi,07_Ludovico_Einaudi_Oltremare,1.095
Ludovico_Einaudi,08_Ludovico_Einaudi_L_origine_Nascosta,1.291
Ludovico_Einaudi,09_Ludovico_Einaudi_Fly,0.232
Ludovico_Einaudi,10_Ludovico_Einaudi_Ascolta,0.906
Marvin_Gaye,01_What_s_Going_On,0.478
Marvin_Gaye,02_What_s_Happening_Brother,0.401
Marvin_Gaye,03_Flyin_High_In_The_Friendly_Sky_,0.640
Marvin_Gaye,04_Save_The_Children,0.599
Marvin_Gaye,05_God_Is_Love,0.353
Marvin_Gaye,06_Mercy_Mercy_Me_The_Ecology_,0.376
Marvin_Gaye,07_Right_On,0.262
Marvin_Gaye,08_Wholy_Holy,0.743
Marvin_Gaye,09_Inner_City_Blues_Make_Me_Wanna_Holler_,0.521
Massive_Attack,01_Angel,0.496
Massive_Attack,02_Risingson,0.864
Massive_Attack,03_Teardrop,0.542
Massive_Attack,04_Inertia_Creeps,0.314
Massive_Attack,05_Exchange,0.458
Massive_Attack,06_Dissolved_Girl,0.290
Massive_Attack,07_Man_Next_Door,0.475
Massive_Attack,09_Mezzanine,0.474
Moby,01_Honey,0.786
Moby,02_Find_My_Baby,0.291
Moby,03_Porcelain,0.388
Moby,04_Why_Does_My_Heart_Feel_So_Bad,0.309
Moby,06_Rushing,0.362
Moby,07_Bodyrock,0.309
Moby,08_Natural_Blues,0.354
Pink_Floyd,02_Breathe,0.639
Pink_Floyd,03_On_The_Run,0.397
Pink_Floyd,04_Time,0.737
Pink_Floyd,05_The_Greate_Gig_In_The_Sky,0.654
Pink_Floyd,06_Money,0.508
Pink_Floyd,07_Us_And_Them,0.446
Pink_Floyd,08_Any_Colour_You_Like,0.606
Pink_Floyd,09_Brain_Damage,0.649
Pink_Floyd,10_Eclipse,0.712
Queen,A_Kind_Of_Magic,0.418
Queen,Another_One_Bites_The_Dust,0.528
Queen,Bohemian_Rhapsody,0.644
Queen,Don_t_Stop_Me_Now,0.386
Queen,Friends_Will_Be_Friends,0.565
Queen,I_Want_It_All,0.530
Queen,I_Want_To_Break_Free,0.447
Queen,Radio_Ga_Ga,0.536
Queen,Somebody_To_Love,0.605
Queen,The_Show_Must_Go_On,0.561
Queen,Under_Pressure,0.425
Queen,We_Are_The_Champions,0.600
Queen,We_Will_Rock_You,0.938
Queen,You_Don_t_Fool_Me,0.342
Radiohead,Radiohead_01_15_Step,0.356
Radiohead,Radiohead_02_Bodysnatchers,0.196
Radiohead,Radiohead_02_Down_is_the_New_Up,0.441
Radiohead,Radiohead_03_Go_Slowly,0.667
Radiohead,Radiohead_03_Nude,0.428
Radiohead,Radiohead_06_Faust_Arp,0.856
Radiohead,Radiohead_07_Reckoner,0.398
Radiohead,Radiohead_08_House_Of_Cards,0.264
Radiohead,Radiohead_10_Videotape,0.553
The_Beatles,01_Drive_My_Car_,0.302
The_Beatles,02_Norwegian_Wood_,0.458
The_Beatles,03_You_Won_t_See_Me_,0.492
The_Beatles,04_Nowhere_Man_,0.532
The_Beatles,05_Think_For_Yourself_,0.344
The_Beatles,07_Michelle_,0.442
The_Beatles,08_What_Goes_On_,0.414
The_Beatles,09_Girl_,0.488
The_Prodigy,01_The_Prodigy_Smack_My_Bitch_Up,0.460
The_Prodigy,02_The_Prodigy_Breathe,0.456
The_Prodigy,03_The_Prodigy_Diesel_Power,0.554
The_Prodigy,04_The_Prodigy_Funky_Shit,0.294
The_Prodigy,05_The_Prodigy_Serila_Thrilla,0.508
The_Prodigy,06_The_Prodigy_Mindfields,0.419
The_Prodigy,07_The_Prodigy_Narayan,0.346
The_Prodigy,08_The_Prodigy_Firestarter,0.531
The_Prodigy,09_The_Prodigy_Climbatize,0.307
The_Prodigy,10_The_Prodigy_Fuel_My_Fire,0.398
The_xx,01_Angels,1.049
The_xx,02_Chained,0.695
The_xx,03_Fiction,0.495
The_xx,05_Reunion,0.793
The_xx,06_Sunset,0.392
The_xx,07_Missing,0.986
The_xx,08_Tides,0.492
The_xx,09_Unfold,1.286
The_xx,10_Swept_Away,1.116
The_xx,01_Dangerous,0.434
The_xx,02_Say_Something_Loving,0.418
The_xx,03_Lips,0.482
The_xx,04_A_Violent_Noise,0.961
The_xx,05_Performance,1.260
The_xx,06_Replica,0.471
The_xx,07_Brave_For_You,0.862
The_xx,08_On_Hold,0.574
The_xx,09_I_Dare_You,0.252
The_xx,10_Test_Me,1.398
