sep=,
Jamie_xx,01_Radiohead_Bloom_Jamie_xx_Rework_Part_3_,0.056
Jamie_xx,01_The_xx_Sunset_Jamie_xx_Edit_,0.034
Jamie_xx,02_The_xx_Reconsider_Jamie_xx_Edit_,0.034
Ludovico_Einaudi,01_Ludovico_Einaudi_Uno,0.045
Ludovico_Einaudi,02_Ludovico_Einaudi_Divenire,0.051
Ludovico_Einaudi,03_Ludovico_Einaudi_Monday,0.042
Ludovico_Einaudi,04_Ludovico_Einaudi_Andare,0.042
Ludovico_Einaudi,05_Ludovico_Einaudi_Rose,0.044
Ludovico_Einaudi,06_Ludovico_Einaudi_Primavera,0.045
Ludovico_Einaudi,07_Ludovico_Einaudi_Oltremare,0.043
Ludovico_Einaudi,08_Ludovico_Einaudi_L_origine_Nascosta,0.069
Ludovico_Einaudi,09_Ludovico_Einaudi_Fly,0.047
Ludovico_Einaudi,10_Ludovico_Einaudi_Ascolta,0.041
Marvin_Gaye,01_What_s_Going_On,0.099
Marvin_Gaye,02_What_s_Happening_Brother,0.064
Marvin_Gaye,03_Flyin_High_In_The_Friendly_Sky_,0.072
Marvin_Gaye,04_Save_The_Children,0.085
Marvin_Gaye,05_God_Is_Love,0.085
Marvin_Gaye,06_Mercy_Mercy_Me_The_Ecology_,0.057
Marvin_Gaye,07_Right_On,0.080
Marvin_Gaye,08_Wholy_Holy,0.065
Marvin_Gaye,09_Inner_City_Blues_Make_Me_Wanna_Holler_,0.062
Massive_Attack,01_Angel,0.022
Massive_Attack,02_Risingson,0.074
Massive_Attack,03_Teardrop,0.062
Massive_Attack,04_Inertia_Creeps,0.068
Massive_Attack,05_Exchange,0.019
Massive_Attack,06_Dissolved_Girl,0.031
Massive_Attack,07_Man_Next_Door,0.065
Massive_Attack,09_Mezzanine,0.030
Moby,01_Honey,0.081
Moby,02_Find_My_Baby,0.076
Moby,03_Porcelain,0.077
Moby,04_Why_Does_My_Heart_Feel_So_Bad,0.034
Moby,06_Rushing,0.056
Moby,07_Bodyrock,0.070
Moby,08_Natural_Blues,0.066
Pink_Floyd,02_Breathe,0.053
Pink_Floyd,03_On_The_Run,0.038
Pink_Floyd,04_Time,0.046
Pink_Floyd,05_The_Greate_Gig_In_The_Sky,0.063
Pink_Floyd,06_Money,0.079
Pink_Floyd,07_Us_And_Them,0.037
Pink_Floyd,08_Any_Colour_You_Like,0.073
Pink_Floyd,09_Brain_Damage,0.061
Pink_Floyd,10_Eclipse,0.085
Queen,A_Kind_Of_Magic,0.126
Queen,Another_One_Bites_The_Dust,0.073
Queen,Bohemian_Rhapsody,0.095
Queen,Don_t_Stop_Me_Now,0.155
Queen,Friends_Will_Be_Friends,0.096
Queen,I_Want_It_All,0.152
Queen,I_Want_To_Break_Free,0.103
Queen,Radio_Ga_Ga,0.108
Queen,Somebody_To_Love,0.138
Queen,The_Show_Must_Go_On,0.129
Queen,Under_Pressure,0.108
Queen,We_Are_The_Champions,0.094
Queen,We_Will_Rock_You,0.125
Queen,You_Don_t_Fool_Me,0.105
Radiohead,Radiohead_01_15_Step,0.062
Radiohead,Radiohead_02_Bodysnatchers,0.085
Radiohead,Radiohead_02_Down_is_the_New_Up,0.080
Radiohead,Radiohead_03_Go_Slowly,0.047
Radiohead,Radiohead_03_Nude,0.031
Radiohead,Radiohead_06_Faust_Arp,0.036
Radiohead,Radiohead_07_Reckoner,0.103
Radiohead,Radiohead_08_House_Of_Cards,0.034
Radiohead,Radiohead_10_Videotape,0.032
The_Beatles,01_Drive_My_Car_,0.131
